"Feature ID"	"Expression values"	"Gene length"	"Unique gene reads"	"Total gene reads"	"RPKM"	"Chromosome region start"	"Chromosome region end"
MT2105	23.742	1506	614	614	23.742	2292018	2293523
MT2106	22.248	657	251	251	22.248	2293602	2294258
MT2107	38.595	2565	1700	1700	38.595	2294295	2296859
MT2108	93.4	12456	19978	19978	93.4	2296864	2309319
MT2109	51.335	363	320	320	51.335	2309626	2309988
MT2110	139.865	336	807	807	139.865	2310154	2310489
MT2111	140.234	2607	6278	6278	140.234	2310464	2313070
MT2112	196.108	1605	5405	5405	196.108	2313246	2314850
MT2113	258.481	579	2570	2570	258.481	2314831	2315409
MT2114	51.138	714	627	627	51.138	2315458	2316171
MT2115	24.619	123	52	52	24.619	2316307	2316429
rpsR (NC_002755 2316419..2316686)	71.102	267	326	326	71.102	2316420	2316686
rpsN (NC_002755 2316686..2316992)	46.815	306	246	246	46.815	2316687	2316992
rpmG (NC_002755 2316993..2317158)	31.764	165	90	90	31.764	2316994	2317158
rpmB (NC_002755 2317157..2317394)	43.737	237	178	178	43.737	2317158	2317394
MT2119	43.031	1536	1135	1135	43.031	2317507	2319042
MT2120	63.742	444	486	486	63.742	2319014	2319457
cobN	22.576	3588	1391	1391	22.576	2319502	2323089
MT2122	13.439	234	54	54	13.439	2323164	2323397
MT2123	15.671	327	88	88	15.671	2323474	2323800
MT2124	45.542	1092	854	854	45.542	2323784	2324875
cobH	31.95	627	344	344	31.95	2324885	2325511
cobIJ	27.496	1527	721	721	27.496	2325508	2327034
MT2127	36.301	1224	763	763	36.301	2326980	2328203
bla	64.914	924	955	1030	64.914	2328219	2329142
sigC	31.792	936	474	511	31.792	2328899	2329834
cobK	13.073	735	165	165	13.073	2329824	2330558
cobM	8.797	801	121	121	8.797	2330555	2331355
cobL	11.468	1173	231	231	11.468	2331307	2332479
MT2133	8.696	750	112	112	8.696	2332547	2333296
MT2134	254.174	414	1807	1807	254.174	2333326	2333739
MT2135	52.347	1464	1316	1316	52.347	2333749	2335212
MT2136	8.929	300	46	46	8.929	2335370	2335669
MT2137	5.152	972	86	86	5.152	2335656	2336627
MT2138	3.3	300	17	17	3.3	2336628	2336927
MT2138.1	3.106	150	8	8	3.106	2337061	2337210
MT2138.2	2.492	444	15	19	2.492	2337185	2337628
MT2139	8.504	315	27	46	8.504	2337392	2337706
MT2140	13.089	1971	443	443	13.089	2337688	2339658
MT2141	74.901	573	737	737	74.901	2339630	2340202
MT2142	38.225	195	128	128	38.225	2340177	2340371
MT2143	74.045	453	576	576	74.045	2340398	2340850
MT2144	38.984	2160	1446	1446	38.984	2341042	2343201
MT2145	55.892	945	907	907	55.892	2343198	2344142
MT2146	55.024	1143	1080	1080	55.024	2344129	2345271
MT2147	31.591	306	166	166	31.591	2345354	2345659
MT2148	6.754	914	106	106	6.754	2345638	2346551
MT2149	16.516	1770	502	502	16.516	2346738	2348507
MT2150	5.266	1128	102	102	5.266	2348524	2349651
MT2151	27.869	957	458	458	27.869	2349867	2350823
MT2152	172.166	735	2173	2173	172.166	2350827	2351561
MT2153	93.696	2721	4378	4378	93.696	2351603	2354323
MT2154	95.421	855	1401	1401	95.421	2354371	2355225
tatA	374.128	252	1619	1619	374.128	2355314	2355565
MT2156	39.19	951	640	640	39.19	2355633	2356583
MT2157	80.151	999	1375	1375	80.151	2356580	2357578
MT2158	125.68	1359	2933	2933	125.68	2357587	2358945
MT2159	11.323	1476	287	287	11.323	2358997	2360472
MT2160	31.403	1656	893	893	31.403	2360652	2362307
MT2160.1	54.147	171	159	159	54.147	2362470	2362640
MT2161	69.128	2865	3401	3401	69.128	2362684	2365548
MT2162	79.74	834	1142	1142	79.74	2365541	2366374
MT2163	60.627	438	456	456	60.627	2366353	2366790
MT2164	72.621	255	318	318	72.621	2366794	2367048
MT2165	7.255	297	37	37	7.255	2367064	2367360
MT2165.1	17.647	99	30	30	17.647	2368020	2368118
MT2166	32.744	297	167	167	32.744	2368268	2368564
MT2167	52.506	732	660	660	52.506	2368620	2369351
MT2168	27.537	129	61	61	27.537	2369640	2369768
prcA	181.717	747	2331	2331	181.717	2369891	2370637
prcB	224.559	876	3378	3378	224.559	2370634	2371509
MT2171	259.812	195	870	870	259.812	2371506	2371700
MT2172	64.909	1518	1692	1692	64.909	2371813	2373330
MT2173	16.778	1194	344	344	16.778	2373481	2374674
MT2174	111.812	663	1273	1273	111.812	2374646	2375308
MT2175	231.63	1830	7279	7279	231.63	2375312	2377141
MT2176	8.99	570	88	88	8.99	2377422	2377991
MT2177	8.517	294	43	43	8.517	2377999	2378292
MT2178	24.247	843	351	351	24.247	2378321	2379163
MT2179	23.168	837	333	333	23.168	2379237	2380073
MT2180	36.34	516	322	322	36.34	2380096	2380611
hisG	11.034	855	162	162	11.034	2380657	2381511
hisE	17.553	282	85	85	17.553	2381514	2381795
MT2182.1	80.087	453	569	623	80.087	2381922	2382374
metH	178.845	2445	7396	7509	178.845	2382137	2384581
MT2184	86.39	879	1304	1304	86.39	2384870	2385748
MT2185.1	12.75	1151	252	252	12.75	2385745	2386895
ansP-2	89.593	1389	2137	2137	89.593	2387273	2388661
MT2187	38.947	933	624	624	38.947	2388884	2389816
cysS (NC_002755 2389790..2390918)	56.478	1128	1094	1094	56.478	2389791	2390918
MT2189	115.069	708	1399	1399	115.069	2391093	2391800
MT2190	77.177	249	330	330	77.177	2391969	2392217
MT2191	53.658	789	727	727	53.658	2392427	2393215
MT2192	158.756	588	1603	1603	158.756	2393226	2393813
MT2193	44.228	711	540	540	44.228	2393877	2394587
uppP	70.374	849	1026	1026	70.374	2394584	2395432
MT2195	707.384	414	5029	5029	707.384	2395478	2395891
MT2196	43.581	1077	806	806	43.581	2395906	2396982
pyrD	44.136	1074	814	814	44.136	2397296	2398369
MT2198	27.307	531	249	249	27.307	2398374	2398904
MT2199	16.731	1347	387	387	16.731	2398952	2400298
MTt22	1.963	89	3	3	1.963	2400679	2400767
MT2200	12.819	318	70	70	12.819	2400885	2401202
MT2201	52.033	216	193	193	52.033	2401199	2401414
MT2202	28.704	1059	522	522	28.704	2401669	2402727
MT2203	299.977	357	1839	1839	299.977	2402857	2403213
ag84	392.836	783	5282	5282	392.836	2403308	2404090
MT2205	106.837	387	710	710	106.837	2404358	2404744
MT2206	404.748	726	5046	5046	404.748	2404810	2405535
MT2207	69.075	795	943	943	69.075	2405532	2406326
MT2208	154.785	807	2145	2145	154.785	2406314	2407120
ftsZ	352.444	1206	7299	7299	352.444	2407077	2408282
ftsQ	107.779	945	1749	1749	107.779	2408389	2409333
murC	138.231	1485	3525	3525	138.231	2409330	2410814
murG	152.692	1233	3233	3233	152.692	2410811	2412043
ftsW-2	298.896	1575	8084	8084	298.896	2412040	2413614
murD	147.01	1491	3764	3764	147.01	2413626	2415116
mraY	176.858	1080	3280	3280	176.858	2415088	2416167
murF	124.521	1533	3278	3278	124.521	2416164	2417696
murE	201.898	1608	5575	5575	201.898	2417693	2419300
MT2218	455.854	1035	8102	8102	455.854	2419323	2420357
MT2218.1	304.279	342	1787	1787	304.279	2420354	2420695
MT2219	580.523	867	8643	8643	580.523	2420963	2421829
MT2220	265.639	1599	7294	7294	265.639	2421932	2423530
MT2221	116.953	2040	4097	4097	116.953	2423740	2425779
MT2222	212.969	1155	4224	4224	212.969	2425776	2426930
mraW	157.54	1035	2800	2800	157.54	2426927	2427961
MT2224	322.577	432	2393	2393	322.577	2428119	2428550
MT2225	49.75	405	346	346	49.75	2428899	2429303
MT2226	10.221	621	109	109	10.221	2429569	2430189
MT2227	60.48	726	754	754	60.48	2430243	2430968
MT2228	419.924	981	7074	7074	419.924	2430965	2431945
MT2229	49.49	1059	900	900	49.49	2432181	2433239
MT2230	39.123	1551	1042	1042	39.123	2433243	2434793
MT2231	38.196	465	305	305	38.196	2434780	2435244
MT2232	10.579	1200	218	218	10.579	2435275	2436474
MT2233	15.389	666	51	176	15.389	2436616	2437281
MT2234	140.239	1389	3345	3345	140.239	2437666	2439054
MT2234.1	6.202	507	54	54	6.202	2439145	2439651
MT2235	10.543	939	170	170	10.543	2439661	2440599
MT2236	54.651	1284	1205	1205	54.651	2440636	2441919
MT2237	121.946	744	1558	1558	121.946	2441920	2442663
MT2238	56.652	405	394	394	56.652	2442749	2443153
MT2239	40.708	1143	799	799	40.708	2443141	2444283
MT2240	79.787	435	596	596	79.787	2444400	2444834
MT2241	23.293	390	156	156	23.293	2444939	2445328
MT2242	49.878	1812	1552	1552	49.878	2445485	2447296
MT2243	12.119	1158	241	241	12.119	2447327	2448484
MT2244	30.923	774	411	411	30.923	2448581	2449354
MT2245	205.184	1215	4281	4281	205.184	2449449	2450663
MT2246	9.81	279	47	47	9.81	2450792	2451070
MT2247	19.137	1914	629	629	19.137	2451177	2453090
trpD	46.52	1044	832	834	46.52	2452965	2454008
ctaE	296.307	612	3114	3114	296.307	2454235	2454846
MT2250	246.889	843	3574	3574	246.889	2454887	2455729
MT2251	302.77	1290	6706	6707	302.77	2455726	2457015
MT2252	376.401	1650	10665	10665	376.401	2457012	2458661
MT2253	122.878	645	1361	1361	122.878	2458781	2459425
MT2254	102.168	900	1579	1579	102.168	2459425	2460324
MT2255	202.986	420	1464	1464	202.986	2460510	2460929
ctaC	288.609	1092	5412	5412	288.609	2460937	2462028
MT2257	25.535	1959	859	859	25.535	2462274	2464232
MT2258	191.723	975	3210	3210	191.723	2464330	2465304
MT2259	177.39	693	2111	2111	177.39	2465508	2466200
MT2260	539.926	357	3310	3310	539.926	2466208	2466564
MT2261	15.346	1146	302	302	15.346	2466664	2467809
MT2262	69.045	711	843	843	69.045	2467899	2468609
cobT	57.912	1086	1080	1080	57.912	2468688	2469773
cobS	61.961	750	798	798	61.961	2469770	2470519
MT2265	45.596	1539	1205	1205	45.596	2470677	2472215
ilvE	68.807	1107	1308	1308	68.807	2472141	2473247
gcvT	33.306	1140	652	652	33.306	2473319	2474458
MT2268	26.697	1167	535	535	26.697	2474437	2475603
pepA	33.293	1548	885	885	33.293	2475615	2477162
MT2270	69.658	1779	2128	2128	69.658	2477200	2478978
dlaT	105.43	1662	3009	3009	105.43	2479242	2480903
MT2273	64.256	909	1003	1003	64.256	2480900	2481808
lipB	53.401	723	663	663	53.401	2481831	2482553
lipA	43.24	936	695	695	43.24	2482550	2483485
MT2276	76.794	753	993	993	76.794	2483512	2484264
MT2277	24.94	495	212	212	24.94	2484271	2484765
glnA-1	69.378	1437	1712	1712	69.378	2484890	2486326
MT2279	40.481	2985	2075	2075	40.481	2486644	2489628
glnA-2	180.867	1341	4165	4165	180.867	2489677	2491017
slpD	31.967	1563	858	858	31.967	2491112	2492674
MT2282	63.086	1524	1651	1651	63.086	2492736	2494259
MT2283	2.426	192	8	8	2.426	2494500	2494691
panB	78.127	846	1135	1135	78.127	2495017	2495862
MT2285	15.295	1542	405	405	15.295	2496107	2497648
MT2285.2	13.792	228	54	54	13.792	2498198	2498425
MT2286	20.729	486	173	173	20.729	2498422	2498907
MT2287	25.421	1095	478	478	25.421	2498919	2500013
MT2289	20.158	1872	648	648	20.158	2500010	2501881
hisC-2	14.648	978	246	246	14.648	2501878	2502855
MT2291	6.239	420	45	45	6.239	2503009	2503428
MT2292	18.68	876	281	281	18.68	2503551	2504426
ptpA	25.448	492	215	215	25.448	2504419	2504910
MT2294	26.762	816	375	375	26.762	2504910	2505725
cobD	11.56	942	187	187	11.56	2505707	2506648
MT2296	25.477	816	357	357	25.477	2506714	2507529
MT2297	70.028	237	285	285	70.028	2507624	2507860
MTt23	0.776	75	1	1	0.776	2507868	2507942
MT2298	73.863	462	586	586	73.863	2507988	2508449
MT2299	140.518	477	1151	1151	140.518	2508449	2508925
MT2300	28.302	786	382	382	28.302	2508963	2509748
aceE	59.805	2706	2779	2779	59.805	2509812	2512517
MT2302	25.96	1245	555	555	25.96	2512577	2513821
fabD	92.7	909	1447	1447	92.7	2514060	2514968
acpP	357.434	348	2136	2136	357.434	2515044	2515391
fabF-1	306.018	1251	6574	6574	306.018	2515388	2516638
fabF-2	251.683	1317	5692	5692	251.683	2516669	2517985
pccB-2	322.046	1422	7864	7864	322.046	2518016	2519437
MT2308	31.186	816	437	437	31.186	2519632	2520447
glpD-1	56.914	1545	1510	1510	56.914	2520502	2522046
MT2310	45.44	660	515	515	45.44	2522046	2522705
MT2311	305.745	1590	8348	8348	305.745	2522663	2524252
MT2312	110.575	929	1764	1764	110.575	2524249	2525177
MT2314	22.762	504	197	197	22.762	2525243	2525746
MT2315	23.37	456	183	183	23.37	2525779	2526234
MT2316	128.167	219	482	482	128.167	2526353	2526571
MT2317	541.66	534	4967	4967	541.66	2526600	2527133
MT2318	31.641	819	445	445	31.641	2527263	2528081
MT2319	58.453	1062	1066	1066	58.453	2528095	2529156
MT2320	57.805	1086	1078	1078	57.805	2529451	2530536
MT2321	43.288	639	475	475	43.288	2530533	2531171
MT2322	13.121	1509	340	340	13.121	2531248	2532756
MT2323	13.307	954	218	218	13.307	2532845	2533798
MT2324	18.626	1779	569	569	18.626	2533776	2535554
MT2325	23.382	132	53	53	23.382	2535626	2535757
MT2326	11.525	96	19	19	11.525	2535754	2535849
MT2327	2.841	1230	60	60	2.841	2535904	2537133
MT2328	10.271	1287	227	227	10.271	2537308	2538594
MT2329	7.585	1167	152	152	7.585	2538848	2540014
MT2330	6.853	1470	173	173	6.853	2540011	2541480
MT2330.1	16.229	183	51	51	16.229	2541582	2541764
MT2331	125.18	528	1135	1135	125.18	2541902	2542429
MT2332	37.075	300	191	191	37.075	2542536	2542835
MT2333	28.722	369	182	182	28.722	2542941	2543309
MT2334	10.235	330	58	58	10.235	2543306	2543635
MT2334.1	2.384	171	7	7	2.384	2543876	2544046
MT2335	28.314	870	423	423	28.314	2544087	2544956
MT2336	16.429	1191	336	336	16.429	2544953	2546143
MT2337	9.801	915	154	154	9.801	2546328	2547242
MT2338	36.502	1380	865	865	36.502	2547406	2548785
MT2339	5.897	1659	168	168	5.897	2549019	2550677
MT2340	5.395	939	87	87	5.395	2550784	2551722
MT2341	3.274	249	14	14	3.274	2551771	2552019
MT2342	16.58	1296	369	369	16.58	2551991	2553286
MT2343	16.93	1338	389	389	16.93	2553319	2554656
MT2344	8.739	693	104	104	8.739	2554723	2555415
MT2345	10.546	1629	295	295	10.546	2555549	2557177
MT2345.1	30.041	378	195	195	30.041	2557174	2557551
cdh	39.864	783	536	536	39.864	2557521	2558303
MT2347	46.667	579	464	464	46.667	2558382	2558960
sseA-2	61.481	807	852	852	61.481	2559068	2559874
MT2349	19.411	225	75	75	19.411	2559875	2560099
MT2350	13.281	741	169	169	13.281	2560138	2560878
MT2351	9.856	1164	197	197	9.856	2561233	2562396
MT2352	71.037	564	688	688	71.037	2562693	2563256
MT2353	46.368	903	719	719	46.368	2563350	2564252
MT2354	33.809	453	263	263	33.809	2564284	2564736
MT2355	27.919	972	466	466	27.919	2564928	2565899
htpG	27.379	1944	914	914	27.379	2565905	2567848
MT2357	16.041	933	257	257	16.041	2567922	2568854
MT2358	22.499	660	255	255	22.499	2568894	2569553
MT2359	105.204	243	439	439	105.204	2569659	2569901
MT2360	46.196	924	733	733	46.196	2569942	2570865
MT2361	14.42	210	52	52	14.42	2570862	2571071
MT2361.1	0.971	180	3	3	0.971	2571454	2571633
MT2362	12.911	1290	286	286	12.911	2571655	2572944
MT2363	13.839	627	149	149	13.839	2573040	2573666
bem46	16.52	846	240	240	16.52	2573697	2574542
MT2364.1	14.165	111	27	27	14.165	2574739	2574849
MT2365	8.796	192	29	29	8.796	2575074	2575265
MT2365.1	11.589	402	80	80	11.589	2575350	2575751
MT2365.2	48.369	183	152	152	48.369	2575874	2576056
MT2366	10.64	717	131	131	10.64	2576265	2576981
MT2367	15.039	333	86	86	15.039	2576991	2577323
MT2367.1	13.891	327	78	78	13.891	2577270	2577596
MTt24	3.148	74	4	4	3.148	2577610	2577683
MT2368	33.331	456	261	261	33.331	2577689	2578144
MT2369	3.697	126	8	8	3.697	2578161	2578286
MT2370	6.933	168	20	20	6.933	2578323	2578490
MT2370.1	1.866	156	5	5	1.866	2578521	2578676
MT2370.2	2.823	165	8	8	2.823	2578673	2578837
MT2370.3	2.629	288	13	13	2.629	2578891	2579178
MT2371	2.284	153	6	6	2.284	2579123	2579275
MT2372	2.701	345	16	16	2.701	2579281	2579625
MT2373	7.654	525	69	69	7.654	2579730	2580254
MT2374	10.353	270	48	48	10.353	2580332	2580601
MT2375	9.954	117	20	20	9.954	2580583	2580699
MT2376	58.71	855	862	862	58.71	2580898	2581752
MT2377	64.549	1374	1523	1523	64.549	2581763	2583136
MT2378	46.994	1518	1225	1225	46.994	2583133	2584650
MT2379	3.135	873	47	47	3.135	2584684	2585556
MT2380	2.4	825	34	34	2.4	2585543	2586367
MT2381	4.864	1281	107	107	4.864	2586364	2587644
MT2382	8.745	879	132	132	8.745	2587693	2588571
MT2383	14.764	1416	359	359	14.764	2588568	2589983
MT2384.1	15.484	1211	322	322	15.484	2589999	2591209
MT2385	16.528	909	258	258	16.528	2591206	2592114
MT2386	21.756	447	167	167	21.756	2592179	2592625
MT2387	126.276	849	1841	1841	126.276	2592854	2593702
MT2388	191.22	2094	6876	6876	191.22	2593699	2595792
MT2389	300.637	492	2540	2540	300.637	2595833	2596324
MT2390	34.968	1254	753	753	34.968	2596471	2597724
narK-4	56.466	1548	1501	1501	56.466	2597759	2599306
MT2392	7.72	528	70	70	7.72	2599540	2600067
MT2393	55.461	588	560	560	55.461	2599941	2600528
sfcA	16.052	1647	454	454	16.052	2600953	2602599
MT2395	9.273	1614	257	257	9.273	2602553	2604166
MT2396	3.405	171	10	10	3.405	2604193	2604363
cysK	185.249	933	2968	2968	185.249	2604641	2605573
MT2398	105.327	690	1248	1248	105.327	2605577	2606266
MT2399	18.991	969	316	316	18.991	2606682	2607650
MT2400	14.623	1119	281	281	14.623	2607714	2608832
MT2401	18.012	957	296	296	18.012	2608952	2609908
MT2401.1	1.839	285	9	9	1.839	2609913	2610197
MT2401.2	8.042	210	29	29	8.042	2610292	2610501
MT2402	18.323	2889	909	909	18.323	2610538	2613426
MT2404	41.964	1242	895	895	41.964	2613512	2614753
MT2405	3.405	171	10	10	3.405	2614868	2615038
MTt25	0.798	73	1	1	0.798	2615252	2615324
MT2406	1.941	420	14	14	1.941	2615442	2615861
MT2407	49.716	294	251	251	49.716	2616081	2616374
dnaG	45.859	1920	1512	1512	45.859	2616378	2618297
MT2409	25.837	1296	575	575	25.837	2618302	2619597
MT2410	73.211	1983	2493	2493	73.211	2619666	2621648
MT2411	782.987	285	2396	3832	782.987	2621733	2622017
MT2412	608.218	297	1200	3102	608.218	2622068	2622364
MT2413	299.36	327	1681	1681	299.36	2622499	2622825
MT2414	31.882	1527	836	836	31.882	2623017	2624543
MT2415	40.147	1539	1061	1061	40.147	2624626	2626164
MT2416	19.001	1563	510	510	19.001	2626382	2627944
MT2417	3.576	114	7	7	3.576	2628125	2628238
MT2418	3.32	228	13	13	3.32	2628410	2628637
MT2419	5.546	1176	23	112	5.546	2628768	2629943
MT2420	481.278	291	2405	2405	481.278	2630145	2630435
MT2421	548.949	300	2828	2828	548.949	2630444	2630743
MT2422	95.376	1248	486	2044	95.376	2630832	2632079
MT2423	122.74	1866	3266	3933	122.74	2632416	2634281
MT2423.1	33.93	369	215	215	33.93	2634431	2634799
MT2424	45.643	111	87	87	45.643	2634822	2634932
MT2425	100.806	1848	2607	3199	100.806	2635019	2636866
glyS	18.951	1392	453	453	18.951	2637004	2638395
MT2427	33.113	408	232	232	33.113	2638577	2638984
fur-2	28.45	393	192	192	28.45	2638981	2639373
MT2429	43.166	429	318	318	43.166	2639481	2639909
uppS-2	44.574	891	682	682	44.574	2639909	2640799
recO	52.542	798	720	720	52.542	2640792	2641589
nylA	13.368	1455	334	334	13.368	2641651	2643105
era	68.358	903	1060	1060	68.358	2643102	2644004
MT2434	47.083	282	228	228	47.083	2644078	2644359
MT2435	92.478	1221	1939	1939	92.478	2644391	2645611
MT2436	110.469	534	1013	1013	110.469	2645695	2646228
MT2437	121.306	1059	2206	2206	121.306	2646247	2647305
MT2438	7.152	114	14	14	7.152	2647441	2647554
MT2439	8.243	1314	186	186	8.243	2647576	2648889
MT2440	9.908	288	49	49	9.908	2648982	2649269
MT2441	108.791	789	1474	1474	108.791	2649368	2650156
dnaJ-2	225.535	1149	4450	4450	225.535	2650170	2651318
hrcA	125.27	1032	2220	2220	125.27	2651393	2652424
MT2444	131.667	318	719	719	131.667	2652596	2652913
MT2445	242.238	507	2109	2109	242.238	2652940	2653446
mbtH	26.151	216	97	97	26.151	2653546	2653761
MT2446	16.58	1296	369	369	16.58	2653739	2655034
MT2447	24.443	4386	1841	1841	24.443	2655031	2659416
MT2448	21.55	5364	1980	1985	21.55	2659398	2664761
MT2449	17.854	3030	927	929	17.854	2664586	2667615
MT2450	20.28	1341	467	467	20.28	2667600	2668940
pchE	22.58	4245	1646	1646	22.58	2668924	2673168
entE	8.025	1698	234	234	8.025	2673267	2674964
MT2453	10.534	984	178	178	10.534	2674997	2675980
MT2454	29.267	1353	680	680	29.267	2675984	2677336
MT2455	83.468	210	301	301	83.468	2677789	2677998
MT2456	54.36	1293	1207	1207	54.36	2678057	2679349
MT2457	115.822	1173	2333	2333	115.822	2679346	2680518
MT2458	343.391	465	2742	2742	343.391	2680579	2681043
MT2459	362.656	558	3475	3475	362.656	2681040	2681597
MT2460	498.412	102	873	873	498.412	2681818	2681919
nirA	788.878	1668	22596	22596	788.878	2682034	2683701
cysH	467.849	765	6146	6146	467.849	2683698	2684462
MT2463	368.882	846	5355	5359	368.882	2684459	2685304
ggt-2	92.866	1932	3081	3081	92.866	2685341	2687272
MT2465	31.006	2004	1067	1067	31.006	2687403	2689406
MT2466	1965.656	216	7291	7291	1965.656	2689555	2689770
MT2467	496.221	165	1406	1406	496.221	2689882	2690046
MT2467.1	178.806	1149	3528	3528	178.806	2690067	2691215
cysA	70.845	1062	1292	1292	70.845	2691240	2692301
cysW	21.047	819	296	296	21.047	2692312	2693130
cysU	39.438	852	577	577	39.438	2693127	2693978
sbp	23.707	1071	436	436	23.707	2693975	2695045
MT2472	15.529	405	108	108	15.529	2694984	2695388
MT2473	7.764	195	26	26	7.764	2695373	2695567
MT2474	20.77	1929	688	688	20.77	2695860	2697788
MT2475	22.338	756	290	290	22.338	2697866	2698621
lepA	14.722	1962	496	496	14.722	2698618	2700579
MT2477	22.776	450	176	176	22.776	2700718	2701167
MT2478	6.14	294	31	31	6.14	2701338	2701631
MT2479	2.727	726	34	34	2.727	2701643	2702368
MT2480	4.053	273	19	19	4.053	2702336	2702608
MT2481	8.228	1005	136	142	8.228	2702582	2703586
MT2482	37.783	840	479	545	37.783	2703344	2704183
MT2483	35.786	978	601	601	35.786	2704183	2705160
MT2484	30.312	1656	862	862	30.312	2705160	2706815
rpsT	150.158	261	673	673	150.158	2706925	2707185
MT2486	26.803	969	446	446	26.803	2707201	2708169
MT2487	22.372	1554	597	597	22.372	2708182	2709735
MT2488	2.086	642	23	23	2.086	2709741	2710382
MT2488.1	3.729	609	39	39	3.729	2710324	2710932
MT2489	6.804	1164	136	136	6.804	2710974	2712137
MT2490	36.75	843	532	532	36.75	2712322	2713164
MT2491	12.367	744	158	158	12.367	2713245	2713988
MT2492	22.704	672	262	262	22.704	2713978	2714649
MT2493	24.914	381	163	163	24.914	2714646	2715026
nadD	16.481	636	180	180	16.481	2715023	2715658
MT2495	1.28	273	6	6	1.28	2715933	2716205
MT2496	6.563	1047	118	118	6.563	2716447	2717493
MT2497	5.637	1002	34	97	5.637	2717626	2718627
MT2498	29.097	1443	721	721	29.097	2718716	2720158
MT2499	51.652	876	777	777	51.652	2720158	2721033
proA	80.351	1248	1722	1722	80.351	2721080	2722327
MT2501	2.367	246	10	10	2.367	2722410	2722655
MT2502	4.181	195	14	14	4.181	2722716	2722910
ahpC	35.851	588	362	362	35.851	2723043	2723630
ahpD	68.812	534	631	631	68.812	2723656	2724189
MT2505	190.906	672	2203	2203	190.906	2724186	2724857
MT2506	95.697	300	493	493	95.697	2724817	2725116
MT2507	6.804	291	34	34	6.804	2725694	2725984
MT2508	10.914	1446	271	271	10.914	2725965	2727410
MT2509	9.639	2193	363	363	9.639	2727407	2729599
MT2510	2.709	129	6	6	2.709	2729634	2729762
rbsK	12.601	915	198	198	12.601	2730080	2730994
MT2512	20.741	438	156	156	20.741	2731208	2731645
nadE	57.691	2040	2021	2021	57.691	2731642	2733681
MT2514	14.446	129	32	32	14.446	2733838	2733966
proB	28.628	1131	556	556	28.628	2733967	2735097
obgE	42.624	1440	1054	1054	42.624	2735097	2736536
rpmA	137.887	261	618	618	137.887	2736622	2736882
rplU	153.256	315	829	829	153.256	2736897	2737211
MT2518.1	10.472	228	41	41	10.472	2737378	2737605
dctA	71.806	1476	1820	1820	71.806	2737556	2739031
MT2520	461.625	1866	14792	14792	461.625	2738970	2740835
MT2520.1	449.395	456	3519	3519	449.395	2740963	2741418
ndk	42.931	411	303	303	42.931	2742161	2742571
MT2522	34.439	372	220	220	34.439	2742614	2742985
folC	63.405	1464	1594	1594	63.405	2742982	2744445
valS	44.489	2631	2010	2010	44.489	2744442	2747072
MT2525	37.309	1308	838	838	37.309	2747160	2748467
MT2526	19.617	567	191	191	19.617	2748509	2749075
MT2527	18.827	399	129	129	18.827	2749109	2749507
MT2527.1	11.884	147	30	30	11.884	2749695	2749841
MT2528	36.42	606	379	379	36.42	2749865	2750470
MT2529	122.414	1038	2182	2182	122.414	2750555	2751592
MT2531	64.581	1257	1394	1394	64.581	2753782	2755038
clpX	506.419	1281	11140	11140	506.419	2755054	2756334
mmuM	9.674	909	151	151	9.674	2756625	2757533
MT2534	40.823	1572	1102	1102	40.823	2757655	2759226
clpP-1	147.886	645	1638	1638	147.886	2759377	2760021
clpP	113.184	603	1172	1172	113.184	2760018	2760620
tig	108.237	1401	2604	2604	108.237	2760737	2762137
MTt26	8.319	77	11	11	8.319	2762174	2762250
MTt27	1.64	71	2	2	1.64	2762387	2762457
MT2538	89.685	1185	1825	1825	89.685	2762501	2763685
fpg-1	35.07	807	486	486	35.07	2763705	2764511
MT2540	44.282	480	365	365	44.282	2764517	2764996
MT2541	24.777	879	374	374	24.777	2765005	2765883
pepN	34.882	2586	1549	1549	34.882	2765832	2768417
MT2543	79.494	504	688	688	79.494	2768490	2768993
MT2544	89.867	243	375	375	89.867	2768944	2769186
MT2545	25.417	669	292	292	25.417	2769213	2769881
MT2546	67.292	405	468	468	67.292	2770006	2770410
MT2547	35.487	1641	1000	1000	35.487	2770410	2772050
MT2547.1	42.058	288	208	208	42.058	2772124	2772411
MT2547.2	16.694	150	43	43	16.694	2772353	2772502
MT2548	29.031	678	338	338	29.031	2772453	2773130
MT2549	54.049	654	607	607	54.049	2773162	2773815
MT2550	110.602	417	792	792	110.602	2773821	2774237
MT2551	95.025	4875	7955	7955	95.025	2774234	2779108
MT2552	71.985	1677	2073	2073	71.985	2779212	2780888
MT2553	1.723	507	15	15	1.723	2780969	2781475
MT2554	0.761	153	2	2	0.761	2781443	2781595
MT2554.1	10.383	258	46	46	10.383	2781750	2782007
MT2554.2	7.619	321	42	42	7.619	2782085	2782405
MT2555	47.545	2370	1935	1935	47.545	2782402	2784771
MT2556	50.349	1743	1507	1507	50.349	2784768	2786510
MT2557	71.569	1476	1814	1814	71.569	2786507	2787982
MT2558	9.876	171	29	29	9.876	2788038	2788208
MT2559	18.353	1266	399	399	18.353	2788211	2789476
MTt28	2.361	74	3	3	2.361	2789664	2789737
MT2560	22.357	771	296	296	22.357	2789838	2790608
MT2561	6.843	2085	245	245	6.843	2790789	2792873
MT2563	9.113	3342	523	523	9.113	2792955	2796296
MT2563.1	4.973	363	31	31	4.973	2796334	2796696
