Gene ID	Gene Name	Value 1	Value 2	log2 (fold change)	Test Statistics	p value	q value
gene3778	PA3709	0.704453	1.37833	0.968344	0	1	1
gene3779	PA3710	0.121643	0.448657	1.88296	0	1	1
gene378	ftsX	0.867514	1.13157	0.383368	0	1	1
gene3780	PA3711	0.454341	0.716774	0.657743	0	1	1
gene3781	PA3712	6.81287	6.29312	-0.114488	0	1	1
gene3782	spdH	0.149338	0.174868	0.227691	0	1	1
gene3783	PA3714	0	0.314149	inf	0	1	1
gene3784	PA3715	0.528243	1.00349	0.925749	0	1	1
gene3785	PA3716	1.32259	0.24638	-2.42441	0	1	1
gene3786	PA3717	0	2.75726	inf	0	1	1
gene3787	PA3718	0	0.414437	inf	0	1	1
gene3788	armR	0	0	0	0	1	1
gene3789	PA3720	0	0.903993	inf	0	1	1
gene379	rpoH	16.6811	41.6596	1.32043	2.35423	0.00015	0.001803
gene3790	nalC	3.46385	0	-inf	0	1	1
gene3791	PA3722	35.3154	13.7961	-1.35604	-1.2851	0.0589	0.165205
gene3792	PA3723	0	0.2465	inf	0	1	1
gene3793	lasB	1.49422	1.43571	-0.0576277	0	1	1
gene3794	recJ	0.281915	0.408482	0.535015	0	1	1
gene3795	PA3726	0	1.29252	inf	0	1	1
gene3796	PA3727	1.4705	2.13061	0.534962	0	1	1
gene3797	PA3728	1.25779	0.351951	-1.83744	0	1	1
gene3798	PA3729	35.579	3.10911	-3.51645	-5.52012	5e-05	0.000698837
gene3799	PA3730	6.8207	2.1585	-1.65989	0	1	1
gene38	PA0038	2.52367	9.82185	1.96047	0.690605	0.3331	0.489837
gene380	PA0377	0.771841	1.96671	1.34941	0	1	1
gene3800	PA3731	1.02747	2.58366	1.33032	0	1	1
gene3801	PA3732	230.837	111.46	-1.05035	-2.14155	0.0002	0.00231154
gene3802	PA3733	0.314555	1.03278	1.71516	0	1	1
gene3803	PA3733a	0.911623	2.54507	1.4812	0	1	1
gene3804	PA3734	0.351859	0.976932	1.47326	0	1	1
gene3805	thrC	0.351231	0	-inf	0	1	1
gene3806	hom	0.998744	0.391407	-1.35145	0	1	1
gene3807	dsbC	12.3708	12.0845	-0.0337866	-0.0461486	0.9516	0.964438
gene3808	xerD	0	0.611462	inf	0	1	1
gene3809	PA3739	0.15176	0.606193	1.99799	0	1	1
gene381	PA0378	0	0	0	0	1	1
gene3810	PA3740	5.34811	1.65648	-1.69091	0	1	1
gene3811	PA3741	0	0.574813	inf	0	1	1
gene3812	rplS	4.66956	12.3349	1.40139	0.851866	0.12995	0.293609
gene3813	trmD	24.7994	26.9769	0.121418	0.216529	0.7076	0.809582
gene3814	rimM	19.1875	19.1535	-0.00256564	-0.00358974	0.9502	0.964438
gene3815	rpsP	5.61851	0	-inf	0	1	1
gene3816	ffh	10.0594	7.51219	-0.421245	-0.673109	0.24275	0.409926
gene3817	PA3747	0.687823	0.234894	-1.55003	0	1	1
gene3818	PA3748	1.62228	0.900849	-0.848668	0	1	1
gene3819	PA3749	0.221086	0.211789	-0.0619797	0	1	1
gene382	PA0379	0	0	0	0	1	1
gene3820	PA3750	0.436554	0.255595	-0.772301	0	1	1
gene3821	purT	1.79966	0.602689	-1.57824	0	1	1
gene3822	PA3752	0	0	0	0	1	1
gene3823	PA3753	5.2542	3.47428	-0.596756	0	1	1
gene3824	PA3754	0.57301	2.12883	1.89343	0	1	1
gene3825	PA3755	0.463589	1.40912	1.60388	0	1	1
gene3826	PA3756	1.02026	3.08554	1.59658	0	1	1
gene3827	PA3757	0.628946	1.74894	1.47547	0	1	1
gene3828	PA3758	0	0.423988	inf	0	1	1
gene3829	PA3759	0	0.54174	inf	0	1	1
gene383	PA0380	0	9.20163	inf	0	1	1
gene3830	PA3760	0.0777901	0.77631	3.31897	0	1	1
gene3831	PA3761	0	0.444493	inf	0	1	1
gene3832	PA3762	0	3.56506	inf	0	1	1
gene3833	purL	2.54636	2.24537	-0.181478	0	1	1
gene3834	PA3764	4.53824	5.09594	0.167214	0	1	1
gene3835	PA3765	0	0	0	0	1	1
gene3836	PA3766	0	0.348617	inf	0	1	1
gene3837	PA3767	1.13871	2.43434	1.09614	0	1	1
gene3838	PA3768	0.629002	1.38918	1.1431	0	1	1
gene3839	guaA	3.51372	3.18274	-0.142731	0	1	1
gene384	thiG	0.575934	0.236019	-1.287	0	1	1
gene3840	guaB	2.38225	2.68327	0.171667	0	1	1
gene3841	PA3771	0.31317	0.30095	-0.0574215	0	1	1
gene3842	PA3772	0	0.652976	inf	0	1	1
gene3843	PA3773	0	0.299813	inf	0	1	1
gene3844	PA3774	0	0	0	0	1	1
gene3845	PA3775	0	0.881867	inf	0	1	1
gene3846	PA3776	0	0	0	0	1	1
gene3847	xseA	0	0	0	0	1	1
gene3848	PA3778	0	0.193426	inf	0	1	1
gene3849	PA3779	0.290484	0	-inf	0	1	1
gene385	micA	0.862973	0.756869	-0.189272	0	1	1
gene3850	PA3780	1.0393	0.759456	-0.452573	0	1	1
gene3851	PA3781	0.619508	1.02321	0.723901	0	1	1
gene3852	PA3782	0	0	0	0	1	1
gene3853	PA3783	0	0.503833	inf	0	1	1
gene3854	PA3784	0.443598	0	-inf	0	1	1
gene3855	PA3785	0.575775	0	-inf	0	1	1
gene3856	PA3786	0	0	0	0	1	1
gene3857	PA3787	0.639516	0.436514	-0.550952	0	1	1
gene3858	PA3788	0	0	0	0	1	1
gene3859	PA3789	0.763459	0.845746	0.147673	0	1	1
gene386	PA0383	0.497982	0	-inf	0	1	1
gene3860	oprC	0.498103	0.0739303	-2.75221	0	1	1
gene3861	PA3791	0	0	0	0	1	1
gene3862	leuA	5.82082	5.51596	-0.0776092	0	1	1
gene3863	PA3793	5.16245	2.27378	-1.18296	0	1	1
gene3864	PA3794	0	2.13635	inf	0	1	1
gene3865	PA3795	0.788923	1.26726	0.68375	0	1	1
gene3866	PA3796	0.605871	0	-inf	0	1	1
gene3867	PA3797	2.48819	3.83808	0.625287	0	1	1
gene3868	PA3798	0	0.538461	inf	0	1	1
gene3869	PA3799	3.89652	5.52631	0.504131	0	1	1
gene387	PA0384	3.62265	6.43098	0.827993	0	1	1
gene3870	PA3800	4.40892	5.34304	0.277235	0	1	1
gene3871	PA3801	3.61655	3.80163	0.0720044	0	1	1
gene3872	hisS	1.47256	3.54094	1.26581	0	1	1
gene3873	gcpE	4.29798	3.04237	-0.498467	0	1	1
gene3874	PA3804	2.29085	0.433825	-2.4007	0	1	1
gene3875	pilF	3.4427	2.73258	-0.333277	0	1	1
gene3876	PA3806	2.11668	0.946331	-1.16139	0	1	1
gene3877	ndk	2.92286	4.5192	0.628685	0	1	1
gene3878	PA3808	0	4.81658	inf	0	1	1
gene3879	fdx2	0.997492	3.15453	1.66105	0	1	1
gene388	PA0385	0	0.924377	inf	0	1	1
gene3880	hscA	2.0631	2.68775	0.381584	0	1	1
gene3881	hscB	6.52321	25.7193	1.9792	2.02124	0.00635	0.0346941
gene3882	iscA	0	4.36234	inf	0	1	1
gene3883	iscU	50.4367	70.2366	0.477749	0.807903	0.1647	0.326881
gene3884	iscS	24.603	48.5117	0.9795	1.92781	0.00175	0.0136591
gene3885	iscR	0	2.97345	inf	0	1	1
gene3886	cysE	0.71482	0.78351	0.132371	0	1	1
gene3887	PA3817	1.52874	2.42776	0.66728	0	1	1
gene3888	PA3818	0.910188	1.86338	1.03369	0	1	1
gene3889	PA3819	12.7016	59.714	2.23305	3.08932	0.0001	0.00130652
gene389	PA0386	0.256821	0	-inf	0	1	1
gene3890	secF	0.445182	1.42859	1.68213	0	1	1
gene3891	secD	9.78643	10.5089	0.102761	0.187306	0.73985	0.831908
gene3892	PA3822	2.46305	3.39966	0.464947	0	1	1
gene3893	tgt	0.842113	1.31043	0.637949	0	1	1
gene3894	queA	0.208073	0.894905	2.10464	0	1	1
gene3895	PA3824.1	0	0	0	0	1	1
gene3896	PA3825	0	0.268421	inf	0	1	1
gene3897	PA3826	0	0	0	0	1	1
gene3898	PA3827	1.92558	2.4407	0.341998	0	1	1
gene3899	PA3828	3.61354	4.71165	0.382821	0	1	1
gene39	PA0039	3.46971	3.48937	0.00815332	0	1	1
gene390	PA0387	0	0.54678	inf	0	1	1
gene3900	PA3829	0	0	0	0	1	1
gene3901	PA3830	0.393695	0.73918	0.908847	0	1	1
gene3902	pepA	1.55369	2.78731	0.843169	0	1	1
gene3903	holC	2.28006	0	-inf	0	1	1
gene3904	PA3833	0.861942	1.15516	0.422432	0	1	1
gene3905	valS	2.8943	3.49635	0.272635	0	1	1
gene3906	PA3835	1.86548	1.2645	-0.56098	0	1	1
gene3907	PA3836	16.2993	7.47594	-1.12448	-1.65887	0.0072	0.0379579
gene3908	PA3837	1.51697	0.881059	-0.783879	0	1	1
gene3909	PA3838	0.405057	0	-inf	0	1	1
gene391	PA0388	0	2.10164	inf	0	1	1
gene3910	PA3839	1.32435	0.930613	-0.509037	0	1	1
gene3911	PA3840	0.516979	0	-inf	0	1	1
gene3912	exoS	2.17347	2.07913	-0.064021	0	1	1
gene3913	PA3842	0	4.88281	inf	0	1	1
gene3914	PA3844	0	1.07997	inf	0	1	1
gene3915	PA3845	0	0.538764	inf	0	1	1
gene3916	PA3846	1.58283	0	-inf	0	1	1
gene3917	PA3847	0	0	0	0	1	1
gene3918	PA3848	0.153914	0.862381	2.4862	0	1	1
gene3919	PA3849	5.47407	4.14542	-0.401097	0	1	1
gene392	PA0389	13.592	2.80418	-2.27711	-1.68425	0.11	0.261304
gene3920	PA3850	7.43938	3.02175	-1.2998	-1.16512	0.04545	0.141886
gene3921	PA3851	0	0.508554	inf	0	1	1
gene3922	PA3852	0	0.30177	inf	0	1	1
gene3923	PA3853	0.645611	0	-inf	0	1	1
gene3924	PA3854	10.2015	12.5071	0.293964	0.181784	0.72115	0.817757
gene3925	PA3855	1.26171	0.278702	-2.17859	0	1	1
gene3926	PA3856	0	0	0	0	1	1
gene3927	pcs	10.1297	10.8491	0.0989783	0.123769	0.83415	0.896823
gene3928	PA3858	0	0.173058	inf	0	1	1
gene3929	PA3859	0	0	0	0	1	1
gene393	metX	0.563237	0.555555	-0.0198147	0	1	1
gene3930	PA3860	1.43946	0.571327	-1.33314	0	1	1
gene3931	rhl	3.35866	1.63646	-1.0373	0	1	1
gene3932	dauB	0	0	0	0	1	1
gene3933	dauA	0	1.04471	inf	0	1	1
gene3934	dauR	0	0.500555	inf	0	1	1
gene3935	PA3865	2.06549	2.69993	0.386436	0	1	1
gene3936	PA3865a	652.459	741.365	0.184296	0.344756	0.552	0.678429
gene3937	PA3866	57.9267	32.6472	-0.827268	-1.70364	0.00285	0.0201512
gene3938	PA3867	5.13758	12.7085	1.30664	1.26122	0.0316	0.110416
gene3939	PA3868	1.20345	0.817449	-0.557976	0	1	1
gene394	PA0391	0.727507	0.539862	-0.430369	0	1	1
gene3940	PA3869	5.50593	13.0243	1.24215	0.910357	0.22665	0.393768
gene3941	moaA1	0.530147	0	-inf	0	1	1
gene3942	PA3871	0	1.31709	inf	0	1	1
gene3943	narI	4.83909	5.35178	0.145284	0	1	1
gene3944	narJ	0.316089	0.259632	-0.283862	0	1	1
gene3945	narH	8.83636	10.9901	0.314684	0.533855	0.3586	0.510708
gene3946	narG	4.40154	8.07275	0.875052	1.61398	0.0061	0.0345435
gene3947	narK2	0	0.578032	inf	0	1	1
gene3948	narK1	1.0693	1.92838	0.850727	0	1	1
gene3949	narX	0.648127	0.562328	-0.204865	0	1	1
gene395	PA0392	0	0.349632	inf	0	1	1
gene3950	narL	1.76777	1.38069	-0.356543	0	1	1
gene3951	PA3880	2.6093	4.43316	0.764672	0	1	1
gene3952	PA3881	0.597974	0	-inf	0	1	1
gene3953	PA3882	0.873109	1.07601	0.301454	0	1	1
gene3954	PA3883	0	0	0	0	1	1
gene3955	PA3884	0	0	0	0	1	1
gene3956	tpbA	0.689979	0.50333	-0.455048	0	1	1
gene3957	PA3886	1.51133	0.202982	-2.8964	0	1	1
gene3958	PA3886a	0	0	0	0	1	1
gene3959	nhaP	0	0.95388	inf	0	1	1
gene396	proC	0.513504	0.68194	0.409271	0	1	1
gene3960	PA3888	0	0.442246	inf	0	1	1
gene3961	PA3889	0.673317	0.635334	-0.0837703	0	1	1
gene3962	PA3890	0	2.06569	inf	0	1	1
gene3963	PA3891	0.671174	1.33409	0.991098	0	1	1
gene3964	PA3892	0	0.51335	inf	0	1	1
gene3965	PA3893	0.271489	0.113784	-1.2546	0	1	1
gene3966	PA3894	0.191433	0.469941	1.29564	0	1	1
gene3967	PA3895	0.322773	0.499258	0.629267	0	1	1
gene3968	PA3896	0.413506	0.183355	-1.17327	0	1	1
gene3969	PA3897	0.592688	0.808598	0.448149	0	1	1
gene397	PA0394	6.60537	4.87673	-0.437725	0	1	1
gene3970	PA3898	0.254588	0.684198	1.42625	0	1	1
gene3971	PA3899	0	0.725454	inf	0	1	1
gene3972	PA3900	0	0	0	0	1	1
gene3973	fecA	3.00413	1.18224	-1.34542	0	1	1
gene3974	PA3902	4.33898	2.59856	-0.739645	0	1	1
gene3975	prfC	1.98836	1.794	-0.148402	0	1	1
gene3976	PA3904	0	0	0	0	1	1
gene3977	PA3905	0	0	0	0	1	1
gene3978	PA3906	4.0336	0	-inf	0	1	1
gene3979	PA3907	20.3729	2.16015	-3.23745	-2.77239	0.0446	0.141823
gene398	pilT	2.37374	2.80156	0.239068	0	1	1
gene3980	PA3908	2.64698	0	-inf	0	1	1
gene3981	eddB	0.116491	0.396814	1.76824	0	1	1
gene3982	eddA	0	0.279942	inf	0	1	1
gene3983	PA3911	0	0	0	0	1	1
gene3984	PA3912	0.251465	0.996231	1.98612	0	1	1
gene3985	PA3913	0	0.27976	inf	0	1	1
gene3986	moeA1	0	1.33071	inf	0	1	1
gene3987	moaB1	0	0	0	0	1	1
gene3988	moaE	2.0874	0.521357	-2.00136	0	1	1
gene3989	moaD	0	0	0	0	1	1
gene399	pilU	1.8288	1.80851	-0.0161022	0	1	1
gene3990	moaC	22.7852	24.1476	0.0837805	0.116176	0.8453	0.902354
gene3991	PA3919	25.8039	15.3966	-0.744971	-1.41935	0.017	0.0699795
gene3992	PA3920	0.228867	0.305339	0.415903	0	1	1
gene3993	PA3921	0	0.152534	inf	0	1	1
gene3994	PA3922	1.2245	0.394809	-1.63296	0	1	1
gene3995	PA3923	1.08397	0.431216	-1.32984	0	1	1
gene3996	PA3924	0.455165	0.820182	0.849556	0	1	1
gene3997	PA3925	0	0.606294	inf	0	1	1
gene3998	PA3926	0	0.239686	inf	0	1	1
gene3999	PA3927	0.29207	0.768154	1.39508	0	1	1
gene4	lptA	0.419171	1.1706	1.48164	0	1	1
gene40	PA0040	0.725051	0.40115	-0.85394	0	1	1
gene400	PA0397	0.346692	0.836421	1.27058	0	1	1
gene4000	PA3928	0	0	0	0	1	1
gene4001	cioB	0.603883	1.37187	1.1838	0	1	1
gene4002	cioA	0	0.487383	inf	0	1	1
gene4003	PA3931	10.6298	3.10297	-1.77639	-1.51533	0.056	0.161952
gene4004	PA3932	0	0	0	0	1	1
gene4005	PA3933	0.345543	1.03472	1.5823	0	1	1
gene4006	PA3934	0.13541	0.417232	1.62352	0	1	1
gene4007	tauD	0	0.34836	inf	0	1	1
gene4008	PA3936	0	0.356454	inf	0	1	1
gene4009	PA3937	0	0	0	0	1	1
gene401	PA0398	2.55049	0.624172	-2.03076	0	1	1
gene4010	PA3938	0.730511	0.463484	-0.656387	0	1	1
gene4011	PA3939	0	0.307824	inf	0	1	1
gene4012	PA3940	4.23365	3.90299	-0.117324	0	1	1
gene4013	PA3941	0	0	0	0	1	1
gene4014	tesB	2.68721	6.42473	1.25753	0	1	1
gene4015	PA3943	0	0.546868	inf	0	1	1
gene4016	PA3944	5.42935	5.71307	0.0734857	0	1	1
gene4017	PA3945	1.02681	3.87593	1.91638	0	1	1
gene4018	rocS1	0.559325	0.780406	0.480536	0	1	1
gene4019	rocR	0.250704	0.991674	1.98388	0	1	1
gene402	PA0399	0	0.830482	inf	0	1	1
gene4020	rocA1	2.45239	2.80083	0.191663	0	1	1
gene4021	PA3949	0	0	0	0	1	1
gene4022	PA3950	0.369022	0.823033	1.15724	0	1	1
gene4023	PA3951	0.757505	2.17166	1.51947	0	1	1
gene4024	PA3952	0.329642	2.01206	2.6097	0	1	1
gene4025	PA3953	0	0	0	0	1	1
gene4026	PA3954	0.547005	1.17173	1.09902	0	1	1
gene4027	PA3955	0.689979	1.89254	1.4557	0	1	1
gene4028	PA3956	0	0	0	0	1	1
gene4029	PA3957	0	0	0	0	1	1
gene403	PA0400	0.179525	0.921454	2.35973	0	1	1
gene4030	PA3958	0.521595	0.402863	-0.372641	0	1	1
gene4031	PA3959	0	0.842454	inf	0	1	1
gene4032	PA3960	0	0	0	0	1	1
gene4033	PA3961	0.0781857	0.689315	3.14019	0	1	1
gene4034	PA3962	1.01974	1.93831	0.926595	0	1	1
gene4035	PA3963	0	0	0	0	1	1
gene4036	PA3963a	0	0	0	0	1	1
gene4037	PA3965	0.522357	1.59608	1.61143	0	1	1
gene4038	PA3966	6.99884	2.30638	-1.60149	0	1	1
gene4039	PA3967	0	0	0	0	1	1
gene404	PA0401	2.68166	0.55334	-2.27689	0	1	1
gene4040	PA3968	0.842262	0.370531	-1.18468	0	1	1
gene4041	PA3969	0.595988	0.827756	0.473922	0	1	1
gene4042	PA3969a	0.637854	0.373317	-0.772826	0	1	1
gene4043	amn	0.852722	0.363897	-1.22855	0	1	1
gene4044	PA3971	0	0	0	0	1	1
gene4045	PA3972	0.766516	0.582652	-0.395681	0	1	1
gene4046	PA3973	0	0.310208	inf	0	1	1
gene4047	ladS	0.196676	0.847985	2.10822	0	1	1
gene4048	thiD	0.403118	0.38859	-0.0529552	0	1	1
gene4049	thiE	0	0	0	0	1	1
gene405	pyrB	3.31803	2.17202	-0.611289	0	1	1
gene4050	hemL	0.81875	0.350474	-1.22411	0	1	1
gene4051	PA3978	2.02828	3.69588	0.865665	0	1	1
gene4052	PA3979	4.61176	8.95472	0.957332	0.435065	0.2755	0.442715
gene4053	PA3980	1.02825	0.505814	-1.02352	0	1	1
gene4054	PA3981	6.17443	4.8628	-0.34452	0	1	1
gene4055	PA3982	95.9936	78.7929	-0.284873	-0.443474	0.4618	0.59815
gene4056	PA3983	6.11587	5.70148	-0.101221	0	1	1
gene4057	lnt	0.133819	0.887937	2.73017	0	1	1
gene4058	PA3985	0	0	0	0	1	1
gene4059	PA3986	0.668762	0	-inf	0	1	1
gene406	pyrR	0	0	0	0	1	1
gene4060	leuS	2.77854	2.46408	-0.173275	0	1	1
gene4061	PA3988	6.73294	4.58345	-0.554802	0	1	1
gene4062	holA	2.8188	1.48116	-0.928353	0	1	1
gene4063	PA3990	0	0	0	0	1	1
gene4064	PA3992	0.155079	0.251616	0.698225	0	1	1
gene4065	PA3993	0	0	0	0	1	1
gene4066	PA3994	0	0.641384	inf	0	1	1
gene4067	PA3995	0	0.204667	inf	0	1	1
gene4068	lis	2.78163	4.53624	0.705567	0	1	1
gene4069	lipB	18.29	11.1351	-0.715933	-0.876826	0.14225	0.306489
gene407	PA0404	0	1.48945	inf	0	1	1
gene4070	PA3998	1.40867	4.07139	1.53118	0	1	1
gene4071	dacC	12.5057	8.04762	-0.635945	-0.954137	0.09475	0.240273
gene4072	PA4000	2.65032	2.09028	-0.342473	0	1	1
gene4073	sltB1	2.64361	2.06304	-0.357739	0	1	1
gene4074	rodA	4.11479	1.39506	-1.56049	0	1	1
gene4075	pbpA	1.05001	1.02847	-0.0299078	0	1	1
gene4076	PA4004	3.42276	1.55557	-1.13771	0	1	1
gene4077	PA4005	1.80669	0	-inf	0	1	1
gene4078	nadD	0.707653	0.312166	-1.18073	0	1	1
gene4079	proA	2.77672	5.01064	0.851612	0	1	1
gene408	PA0405	0.89362	3.83618	2.10194	0	1	1
gene4080	PA4008	0	0.140508	inf	0	1	1
gene4081	PA4009	0	0	0	0	1	1
gene4082	PA4010	0.788304	2.93741	1.89772	0	1	1
gene4083	PA4011	0	0.413555	inf	0	1	1
gene4084	PA4012	0	0.349632	inf	0	1	1
gene4085	PA4013	0	0.880279	inf	0	1	1
gene4086	PA4014	0	1.02686	inf	0	1	1
gene4087	PA4015	6.62607	5.02373	-0.399394	0	1	1
gene4088	PA4016	2.49653	2.64672	0.0842787	0	1	1
gene4089	PA4017	0.380606	0	-inf	0	1	1
gene409	tonB3	0.973176	2.32615	1.25717	0	1	1
gene4090	PA4018	0	0	0	0	1	1
gene4091	PA4019	0.390249	1.54108	1.98147	0	1	1
gene4092	mpl	0.307828	0.533303	0.79283	0	1	1
gene4093	PA4021	1.3538	1.64393	0.280135	0	1	1
gene4094	PA4022	0.187178	0.109589	-0.772308	0	1	1
gene4095	PA4023	0	0.592357	inf	0	1	1
gene4096	eutB	0	0.386059	inf	0	1	1
gene4097	PA4025	0	0	0	0	1	1
gene4098	PA4026	7.88084	2.19853	-1.84181	-1.13313	0.15535	0.319243
gene4099	PA4027	0.60001	1.3674	1.18838	0	1	1
gene41	PA0041	3.67002	2.83266	-0.373629	0	1	1
gene410	gshB	4.77502	8.53135	0.837267	0.956432	0.0983	0.244746
gene4100	PA4027a	0	0.171063	inf	0	1	1
gene4101	PA4029	0	1.09194	inf	0	1	1
gene4102	PA4030	0.273861	1.64296	2.58478	0	1	1
gene4103	ppa	19.2115	13.9178	-0.465044	-0.590519	0.3056	0.472534
gene4104	PA4032	0	0	0	0	1	1
gene4105	PA4033	0	0	0	0	1	1
gene4106	aqpZ	0	0.285143	inf	0	1	1
gene4107	PA4035	2.71006	3.05578	0.173214	0	1	1
gene4108	PA4036	0.446703	0.252143	-0.825072	0	1	1
gene4109	PA4037	0.334305	0.321494	-0.0563733	0	1	1
gene411	pilG	43.3645	14.2223	-1.60836	-1.88132	0.0048	0.0282824
gene4110	PA4038	0.593554	1.08192	0.866145	0	1	1
gene4111	PA4039	0.203712	0.147982	-0.461103	0	1	1
gene4112	PA4040	0.216879	0.551476	1.34641	0	1	1
gene4113	PA4041	0.252963	0.379024	0.58336	0	1	1
gene4114	xseB	0	0	0	0	1	1
gene4115	ispA	0	0.528418	inf	0	1	1
gene4116	dxs	1.84014	2.43658	0.405041	0	1	1
gene4117	PA4045	0.287967	0	-inf	0	1	1
gene4118	PA4046	0	0	0	0	1	1
gene4119	ribA	2.11702	2.02761	-0.062251	0	1	1
gene412	pilH	45.1091	16.5531	-1.44632	-1.62714	0.0111	0.0505386
gene4120	PA4048	1.08592	0.516277	-1.0727	0	1	1
gene4121	PA4049	0	0	0	0	1	1
gene4122	pgpA	1.2451	2.23863	0.846351	0	1	1
gene4123	thiL	0.227299	0	-inf	0	1	1
gene4124	nusB	4.75808	2.44933	-0.957989	0	1	1
gene4125	ribE	1.15155	0.804614	-0.517207	0	1	1
gene4126	ribB	1.9399	2.28521	0.236343	0	1	1
gene4127	ribC	0.366998	0.47285	0.365613	0	1	1
gene4128	ribD	0	0.410533	inf	0	1	1
gene4129	nrdR	5.45973	5.87135	0.104863	0	1	1
gene413	pilI	0	0.403615	inf	0	1	1
gene4131	PA4060	0	1.99693	inf	0	1	1
gene4132	PA4061	8.92965	42.6481	2.25581	3.53421	5e-05	0.000698837
gene4133	PA4062	0	0.774321	inf	0	1	1
gene4134	PA4063	1.82651	0.704231	-1.37497	0	1	1
gene4135	PA4064	0.473353	0.457395	-0.0494775	0	1	1
gene4136	PA4065	0.627968	1.99735	1.66932	0	1	1
gene4137	PA4066	0.725173	1.32897	0.873916	0	1	1
gene4138	oprG	27.1767	9.75134	-1.4787	-2.06861	0.0021	0.015976
gene4139	PA4068	3.23594	4.51863	0.481701	0	1	1
gene414	pilJ	13.8071	6.57893	-1.06948	-1.91188	0.0015	0.01202
gene4140	PA4069	1.44271	0.945139	-0.610181	0	1	1
gene4141	PA4070	0.324015	0.295949	-0.130712	0	1	1
gene4142	PA4071	0	0	0	0	1	1
gene4143	PA4072	0	0.357861	inf	0	1	1
gene4144	PA4073	0.191869	0.337007	0.812655	0	1	1
gene4145	PA4074	0	0	0	0	1	1
gene4146	PA4075	0.501835	0.365527	-0.457235	0	1	1
gene4147	PA4076	0	0.71062	inf	0	1	1
gene4148	PA4077	0	0	0	0	1	1
gene4149	PA4078	0	0.134854	inf	0	1	1
gene415	pilK	0.973711	0.672586	-0.533776	0	1	1
gene4150	PA4079	0.346346	1.04112	1.58785	0	1	1
gene4151	PA4080	0.378269	0.487855	0.36704	0	1	1
gene4152	cupB6	0.528427	0.151752	-1.79999	0	1	1
gene4153	cupB5	0.0875471	0.873562	3.31878	0	1	1
gene4154	cupB4	0.316089	0.687696	1.12144	0	1	1
gene4155	cupB3	0.140475	0.160028	0.188008	0	1	1
gene4156	cupB2	0.438829	0.658119	0.584689	0	1	1
gene4157	cupB1	0.633082	0.950226	0.585878	0	1	1
gene4158	PA4087	0	0.579442	inf	0	1	1
gene4159	PA4088	0	0	0	0	1	1
gene416	chpA	0.951085	0.94048	-0.0161776	0	1	1
gene4160	PA4089	0	0	0	0	1	1
gene4161	PA4090	1.32403	1.82584	0.463624	0	1	1
gene4162	hpaA	0	0.445556	inf	0	1	1
gene4163	hpaC	0	0.676097	inf	0	1	1
gene4164	PA4093	0	0	0	0	1	1
gene4165	PA4094	0	0.37508	inf	0	1	1
gene4166	PA4095	0	0.637116	inf	0	1	1
gene4167	PA4096	0	0	0	0	1	1
gene4168	PA4097	0	0	0	0	1	1
gene4169	PA4098	0	0	0	0	1	1
gene417	chpB	0.774784	0.171852	-2.17263	0	1	1
gene4170	PA4099	0	0.130469	inf	0	1	1
gene4171	PA4100	0	0.312869	inf	0	1	1
gene4172	bfmR	0	0.428064	inf	0	1	1
gene4173	bfmS	0	0	0	0	1	1
gene4174	PA4103	0	0	0	0	1	1
gene4175	PA4104	2.23271	0.725454	-1.62184	0	1	1
gene4176	PA4105	0	0	0	0	1	1
gene4177	PA4106	0.506438	0	-inf	0	1	1
gene4178	PA4107	0	0	0	0	1	1
gene4179	PA4108	0.574536	0.941294	0.712248	0	1	1
gene418	chpC	0	0.688116	inf	0	1	1
gene4180	PA4108a	0	0	0	0	1	1
gene4181	ampR	0	0.41104	inf	0	1	1
gene4182	ampC	0.247027	0.936037	1.9219	0	1	1
gene4183	PA4111	0	0	0	0	1	1
gene4184	PA4112	0.188161	0.246769	0.391189	0	1	1
gene4185	PA4113	0.326652	0.29011	-0.171155	0	1	1
gene4186	PA4114	0	0.435314	inf	0	1	1
gene4187	PA4115	9.06353	7.41208	-0.290195	-0.459781	0.4175	0.568974
gene4188	bphO	3.45064	3.97064	0.202509	0	1	1
gene4189	bphP	0.688156	1.19384	0.794802	0	1	1
gene419	chpD	0	0	0	0	1	1
gene4190	PA4118	0.44681	0.741061	0.729931	0	1	1
gene4191	aph	0	0	0	0	1	1
gene4192	PA4120	0	0	0	0	1	1
gene4193	PA4121	0	0	0	0	1	1
gene4194	PA4122	0	0	0	0	1	1
gene4195	hpcC	0	0.741194	inf	0	1	1
gene4196	hpcB	0	0	0	0	1	1
gene4197	hpcD	0	0	0	0	1	1
gene4198	PA4126	0	0	0	0	1	1
gene4199	hpcG	1.32683	1.21735	-0.124248	0	1	1
gene42	PA0041a	28.222	38.2662	0.439253	0.801665	0.16225	0.326128
gene420	chpE	1.52245	1.11106	-0.454455	0	1	1
gene4200	PA4128	0	0	0	0	1	1
gene4201	PA4129	0	0	0	0	1	1
gene4202	PA4130	0.679149	0.0984311	-2.78654	0	1	1
gene4203	PA4131	3.43221	0.54836	-2.64594	0	1	1
gene4204	PA4132	1.99722	0.313146	-2.67309	0	1	1
gene4205	PA4133	4.37613	1.85661	-1.23698	0	1	1
gene4206	PA4134	0	0	0	0	1	1
gene4207	PA4135	1.68714	4.0336	1.25749	0	1	1
