Feature ID	Gene length	UK	G1	BC8	C45	C19	G45							
SEN1249	732	293	511	834	171	437	154							
SEN1250	1794	950	1317	2178	444	1241	535							
SEN1251	1119	572	749	1180	178	429	270							
SEN1253	453	287	202	75	62	323	265							
SEN1254	687	216	114	90	86	468	272							
SEN1279	1476	3264	3228	2472	1989	1379	2526							
SEN1294	783	869	953	1181	808	826	1085							
SEN1301	405	1612	959	1085	966	973	1003							
SEN1303	879	8076	9799	11146	8770	13612	6389							
SEN1335	1374	703	419	405	523	775	438							
SEN1336	708	973	638	712	585	609	2037							
SEN1355	930	739	664	739	515	709	874							
SEN1356	906	607	573	465	349	210	616							
SEN1357	870	1244	630	1036	268	428	990							
SEN1358	714	54	56	55	37	25	31							
SEN1359	591	90	62	88	63	147	107							
SEN1360	237	697	468	644	292	813	778							
SEN1360A	1113	16688	15239	13119	6760	23539	28588							
SEN1361	858	78	34	39	7	34	34							
SEN1362	846	106	48	43	6	23	21							
SEN1363	1983	272	187	227	100	180	200							
SEN1364	825	142	69	60	36	164	76							
SEN1365	558	371	255	270	87	103	67							
SEN1365A	366	695	290	445	98	225	261							
SEN1366	687	179	160	214	53	70	93							
SEN1367	603	631	382	639	294	450	606							
SEN1374	1155	620	445	392	84	100	94							
SEN1378	309	58	86	93	143	88	81							
SEN1379	624	77	89	101	36	58	81							
SEN1380	318	20	30	32	10	8	19							
SEN1382	537	984	633	1018	177	538	810							
SEN1383	468	3353	2116	1494	665	1977	1136							
SEN1384	330	142	91	84	75	368	103							
SEN1385	555	2129	923	443	569	6362	1716							
SEN1386	933	3022	984	675	817	10790	1953							
SEN1387	213	76128	81388	87384	111843	113745	208645							
SEN1388	186	200	161	229	169	475	397							
SEN1389	600	96	107	79	74	106	98							
SEN1390	291	49	33	19	16	5	17							
SEN1391	657	166	98	120	105	125	140							
SEN1392	249	454	486	251	169	133	309							
SEN1393	396	13	5	2	3	13	2							
SEN1394	288	12	14	18	17	30	19							
SEN1395	546	16	7	1	1	4	0							
SEN1396	210	4	1	1	2	4	6							
SEN1396A	51	0	0	0	0	0	0							
SEN1398	204	346	153	274	102	419	551							
SEN1399	339	1759	987	1712	496	1858	3064							
SEN1402	300	184	247	246	382	206	193							
SEN1403	156	141	206	217	327	289	234							
SEN1409	450	1071	1210	1148	849	472	817							
SEN1410	606	366	313	354	521	302	286							
SEN1414	663	1347	641	2015	1702	2708	1095							
SEN1415	1550	612	451	440	124	207	206							
SEN1417	681	182	66	119	73	105	127							
SEN1418	732	264	144	153	104	68	71							
SEN1419	648	273	181	138	170	121	81							
SEN1420	762	325	106	148	270	365	383							
SEN1421	345	166	196	265	101	94	140							
SEN1423	717	258	216	163	64	34	17							
SEN1423A	402	908	1437	3581	111	307	240							
SEN1424	276	71	65	33	69	49	18							
SEN1425	1119	879	908	766	1346	666	442							
SEN1428	1344	9813	6572	3287	1696	3037	1650							
SEN1429	1509	1327	1438	740	466	548	271							
SEN1431	576	156	85	49	21	92	64							
SEN1432	720	1763	1119	1078	929	1993	1814							
SEN1433	1044	106	95	78	60	55	43							
SEN1434	1410	204	168	164	97	81	96							
SEN1435	768	181	143	173	91	139	195							
SEN1436	1260	350	269	401	335	263	243							
SEN1437	438	1110	939	824	378	634	759							
SEN1438	792	1620	1330	1032	434	703	923							
SEN1439	633	387	366	223	83	249	181							
SEN1440	438	250	172	114	46	95	75							
SEN1441	807	1477	897	659	301	481	450							
SEN1442	1314	3852	2279	1605	581	1137	1105							
SEN1443	282	1579	920	597	181	514	470							
SEN1444	1119	1264	706	580	418	620	545							
SEN1449	669	4781	2326	2105	2125	2336	2341							
SEN1450	1179	314	284	196	112	196	159							
SEN1469	1062	964	1030	1095	821	932	1290							
SEN1470	222	60	93	116	131	373	91							
SEN1472	633	20525	16514	16728	10538	34804	20989							
SEN1480	579	178	195	188	162	205	104							
SEN1482	441	987	956	2471	724	1650	2186							
SEN1494	786	603	573	292	86	47	52							
SEN1495	1785	2562	3119	1594	246	219	176							
SEN1496	2529	3798	5165	2301	308	417	319							
SEN1497	2076	8649	10848	5005	994	1024	965							
SEN1498	1203	766	843	1076	1791	1128	1839							
SEN1499	1452	1138	999	1196	2064	1409	1644							
SEN1500	1008	736	742	803	1782	1395	1393							
SEN1501	333	340	187	224	100	328	336							
SEN1502	135	48	27	54	15	19	35							
SEN1503	267	107	79	67	43	125	56							
SEN1504	1074	2849	1369	1132	776	3640	1474							
SEN1505	489	433	245	347	177	356	318							
SEN1506	1509	218	183	230	87	102	132							
SEN1507	1242	559	431	519	275	388	277							
SEN1509	1287	153	165	216	289	180	178							
SEN1510	1026	446	450	725	716	470	786							
SEN1511	792	1616	1504	2495	1452	1691	5607							
SEN1512	1092	1094	942	1247	581	1104	1388							
SEN1517	300	101	179	265	90	141	90							
SEN1520	888	387	757	920	293	440	479							
SEN1521	342	106	213	263	78	131	223							
SEN1522	1119	240	157	214	250	868	165							
SEN1523	543	177	100	124	75	160	137							
SEN1524	948	782	712	1056	888	1051	1195							
SEN1538	183	6595	14448	9063	110	420	89							
SEN1543A	1380	1166	939	1038	276	250	609							
SEN1556	711	684	941	349	59	107	272							
SEN1557	903	1302	1587	630	140	164	428							
SEN1558	648	749	1003	375	125	151	274							
SEN1559	1149	2398	3394	1317	458	557	900							
SEN1560	1290	399	392	480	571	540	271							
SEN1564A	249	154	172	198	246	506	380							
SEN1565	822	756	794	593	242	604	528							
SEN1576	1707	137	74	123	56	109	89							
SEN1606	2040	918	1463	1026	764	587	391							
SEN1635	549	171	162	424	369	79	137							
SEN1677	1347	873	635	1131	936	1324	462							
SEN1679	411	380	580	800	1242	953	1324							
SEN1713	855	792	1199	2691	636	422	447							
SEN1715	960	1634	2396	8509	597	364	371							
SEN1719	861	8959	7005	6780	5278	7924	10952							
SEN1726	759	900	974	604	3078	830	420							
SEN1734	909	593	730	633	626	410	401							
SEN1742	417	1479	1577	1481	229	239	228							
SEN1743	276	2771	2724	3092	316	419	471							
SEN1751	1359	551	503	666	447	580	529							
SEN1752	825	2276	693	526	502	3223	2268							
SEN1753	984	463	239	287	211	791	419							
SEN1754	948	806	354	322	391	1466	634							
SEN1755	837	745	308	297	350	1399	560							
SEN1756	1044	562	303	293	262	805	445							
SEN1757	1380	373	263	264	168	385	160							
SEN1758	1077	432	273	312	368	587	265							
SEN1759	223	171	148	93	48	102	130							
SEN1764	849	501	541	610	551	575	529							
SEN1765	1197	648	727	551	336	329	448							
SEN1775	312	569	755	644	658	462	904							
SEN1778	186	170	141	185	50	148	168							
SEN1779	642	837	563	846	292	519	816							
SEN1783	546	258	344	874	785	708	374							
SEN1785	249	6796	3696	1527	163	434	287							
SEN1786	849	1377	1408	1089	873	632	1399							
SEN1787	594	1755	1433	325	20	82	21							
SEN1789	648	546	467	323	439	755	179							
SEN1790	327	604	983	669	131	153	120							
SEN1791	1134	1244	1342	903	1012	529	519							
SEN1792	591	205	245	131	1874	193	127							
SEN1793	798	392	367	269	5520	441	234							
SEN1794	813	196	284	250	3920	404	217							
SEN1795	975	300	300	398	12366	713	226							
SEN1796	1635	570	499	778	33016	1555	530							
SEN1797	315	1295	1258	1889	187283	219120	5054							
SEN1798	531	830	740	838	6904	1958	721							
SEN1799	1044	916	972	1281	749	470	819							
SEN1800	468	220022	81452	86529	6127	23994	108052							
SEN1801	273	1809	944	1437	774	1944	1350							
SEN1802	345	13735	9197	18897	10853	40684	26497							
SEN1805	213	292	504	465	554	679	366							
SEN1809	150	190	232	446	21	28	45							
SEN1810	1125	3826	4941	6397	285	779	1028							
SEN1813	330	344	328	330	251	522	291							
SEN1821	1335	3036	2342	4670	5495	5678	3127							
SEN1828	822	1153	1466	2202	2449	1789	1863							
SEN1840	1026	2852	2420	2283	2017	1615	1764							
SEN1861	744	3999	2477	4122	4378	10454	6602							
SEN1890	573	85	72	61	122	84	56							
SEN1901	540	557	601	519	437	284	463							
SEN1914	303	2260	1446	540	438	1283	1240							
SEN1915	1083	596	425	570	249	516	891							
SEN1916	849	438	209	178	36	221	286							
SEN1917	378	250	81	120	8	84	55							
SEN1918	126	31	44	37	39	119	118							
SEN1919	183	110	80	165	87	227	177							
SEN1919A	222	985	818	0	0	0	1							
SEN1920	1008	324	663	0	0	3	4							
SEN1921	570	310	180	0	0	0	0							
SEN1922	1563	666	351	0	2	0	2							
SEN1923	588	152	54	0	0	0	0							
SEN1924	1080	262	241	1	0	0	1							
SEN1925	414	38	56	0	0	0	0							
SEN1926	534	152	150	1	0	0	0							
SEN1927	1059	339	310	2	0	3	0							
SEN1928	1341	300	288	0	0	0	0							
SEN1929	1929	545	421	0	0	0	2							
SEN1930	327	187	186	0	0	0	0							
SEN1931	357	258	267	2	0	0	0							
SEN1932	1497	306	162	0	0	0	0							
SEN1932A	165	19	6	0	0	0	0							
SEN1933	561	45	15	2	0	0	1							
SEN1934	513	37	22	1	0	0	0							
SEN1935	405	29	11	0	0	0	0							
SEN1935A	324	28	14	0	0	0	0							
SEN1936	1230	213	102	0	0	2	0							
SEN1937	603	103	72	0	0	0	0							
SEN1938	1251	270	177	0	0	1	0							
SEN1939	1731	276	190	0	0	0	0							
SEN1940	441	31	42	0	0	0	0							
SEN1941	351	44	38	0	0	0	0							
SEN1942	540	46	46	0	0	0	0							
SEN1943	618	81	84	0	0	0	0							
SEN1944	390	130	124	0	0	0	0							
SEN1945	573	8922	6283	5	5	2	6							
SEN1946	1092	24239	11982	7	16	13	12							
SEN1947	753	609	602	0	0	0	0							
SEN1948	990	328	456	1	0	0	1							
SEN1949	861	227	410	0	1	0	0							
SEN1949A	390	75	124	0	0	0	0							
SEN1950	882	203	351	0	0	1	2							
SEN1951	474	131	264	0	0	0	2							
SEN1952	975	151	211	0	0	1	0							
SEN1953	1158	850	1210	0	0	0	0							
SEN1954	555	450	574	0	0	1	0							
SEN1955	696	10543	6431	7	3	3	4							
SEN1957	252	3304	3417	0	1	3	2							
SEN1957A	462	439	728	0	1	1	1							
SEN1959	918	611	1138	2	0	0	0							
SEN1960	540	210	347	0	0	0	0							
SEN1961	516	214	208	1	1	0	1							
SEN1962	360	207	311	0	209	595	0							
SEN1963	294	219	315	0	1	0	0							
SEN1964	864	618	874	6	11	12	13							
SEN1965	570	408	407	0	0	0	1							
SEN1965A	243	133	107	0	0	0	2							
SEN1966	990	1451	1172	0	0	2	6							
SEN1968	309	116	106	107	108	172	127							
SEN1970	1275	1750	1503	1499	1801	2335	2559							
SEN1971	252	4726	3771	4703	4789	9032	8890							
SEN1972	838	330	129	47	57	426	135							
SEN1974	609	169	69	22	58	289	97							
SEN1975	882	548	273	129	245	2297	1248							
SEN1976	2143	2196	866	493	79	375	456							
SEN1978	558	20	22	14	2	17	2							
SEN1979	306	89	21	13	1	134	0							
SEN1980	1521	804	455	563	165	809	760							
SEN1981	915	745	397	162	337	2278	1539							
SEN1981A	264	46	44	52	61	130	115							
SEN1982	543	46	33	54	34	142	86							
SEN1983	488	27	12	8	3	87	18							
SEN1984	378	22	19	15	2	28	7							
SEN1985	1611	2535	951	470	1520	4525	2994							
SEN1986	963	1463	872	952	551	1513	2327							
SEN1987	423	56	23	11	2	74	19							
SEN1988	270	15	7	1	1	7	5							
SEN1989	300	8	5	1	0	0	0							
SEN1990	735	205	83	14	97	849	210							
SEN1991	792	306	142	41	39	557	135							
SEN1992	480	97	33	17	14	30	11							
SEN1993	405	2758	1162	1179	1834	3616	1020							
SEN1994	567	2071	616	350	7170	2201	1659							
SEN1995	1272	7793	1586	691	52606	4820	7073							
SEN1996	297	51	23	26	9	20	26							
SEN1997	303	25	10	5	5	31	29							
SEN1998	219	30	18	12	6	47	36							
SEN1999	876	1325	895	1004	931	2831	3352							
SEN2001	525	15	23	7	10	23	20							
SEN2002	394	0	0	3	0	0	0							
SEN2003	699	6	12	3	5	2	2							
SEN2004	2169	398	232	155	190	634	393							
SEN2005	1731	522	366	278	143	378	452							
SEN2005A	102	4	11	9	10	14	3							
SEN2005B	96	47	70	69	56	86	75							
SEN2008	327	4457	2485	3372	1326	7110	7238							
SEN2008A	387	3251	2386	3725	1379	7871	7767							
SEN2122	1242	402	443	387	532	517	328							
SEN2128	1203	256	210	237	81	104	179							
SEN2129	717	31	46	29	24	30	35							
SEN2130	2112	515	496	522	304	291	565							
SEN2133	417	1019	788	350	117	172	457							
SEN2134	336	133	204	266	114	34	178							
SEN2135	117	13	7	9	1	6	7							
SEN2144	315	485	408	540	754	612	603							
SEN2150	531	505	418	506	174	410	415							
SEN2155	108	163	138	80	37	42	41							
SEN2168	1194	217	310	246	164	195	220							
SEN2169	645	145	155	114	106	70	139							
SEN2170	702	275	346	173	173	136	234							
SEN2171	1038	136	115	73	68	46	97							
SEN2172	1359	67	52	27	45	43	26							
SEN2173	909	322	256	214	78	102	138							
SEN2179	1242	2488	1806	4605	608	1767	6170							
SEN2188	390	369	414	517	444	357	375							
SEN2189	1368	291	333	373	351	268	418							
SEN2190	888	133	33	114	33	210	163							
SEN2191	1323	203	146	242	69	228	203							
SEN2201	666	652	353	222	122	484	307							
SEN2202	123	9	8	27	8	32	21							
SEN2203	405	312	267	343	306	382	455							
SEN2204	573	463	499	700	2231	1684	859							
SEN2218	621	3073	2348	2705	3135	3103	2774							
SEN2225	372	54	71	51	16	42	67							
SEN2226	789	140	132	87	55	62	121							
SEN2227	204	171	185	223	209	125	164							
SEN2228	564	544	325	401	1106	377	101							
SEN2232	1932	73	96	93	1259	54	134							
SEN2234	213	7	13	9	177	8	15							
SEN2235	738	36	37	64	592	39	66							
SEN2236	657	10	14	10	20	8	19							
SEN2237	618	49	90	74	1833	53	110							
SEN2255	1203	902	540	456	213	648	543							
SEN2256	1326	191	86	98	24	85	48							
SEN2257	696	642	377	230	103	536	416							
SEN2262	1191	278	336	364	1418	385	296							
SEN2263	879	631	444	496	3304	1004	831							
SEN2269	954	362	231	314	1802	239	122							
SEN2270	177	145	85	206	155	117	201							
SEN2271	804	253	263	581	376	411	441							
SEN2275	1197	1008	875	986	1440	883	1205							
SEN2282	900	225	396	682	2222	956	746							
SEN2284	336	173	338	261	427	218	181							
SEN2285	378	2433	3987	4274	2125	2783	2505							
SEN2296	1002	18132	17090	24302	566	796	803							
SEN2311	153	137	172	118	239	304	295							
SEN2314	600	626	583	1028	1047	1260	1243							
SEN2318	456	952	1290	950	787	780	1110							
SEN2322	954	796	800	953	3759	946	811							
SEN2323	831	414	409	650	2524	694	501							
SEN2325	273	188	59	152	1120	143	152							
SEN2326	444	347	170	307	1528	433	326							
SEN2327	1020	1393	944	1330	1487	1774	1270							
SEN2328	555	1180	1074	1239	1465	1481	1017							
SEN2339	1407	1416	1322	1766	2012	1593	1709							
SEN2340	1104	597	425	527	90	125	302							
SEN2341	1422	367	361	442	101	126	338							
SEN2342	1398	245	317	428	86	170	257							
SEN2343	1428	3886	2019	3152	1910	2156	2659							
SEN2354	1176	365	475	745	654	537	351							
SEN2355	375	97	87	127	35	64	152							
SEN2356	249	13	14	14	6	22	28							
SEN2357	369	27	7	17	6	13	15							
SEN2358	519	203	143	131	100	86	100							
SEN2359	657	789	731	688	1496	667	886							
SEN2375A	248	138	100	112	50	137	68							
SEN2375B	279	144	101	107	37	88	75							
SEN2380	441	233	106	156	15	62	70							
SEN2380A	442	213	110	121	25	44	167							
SEN2386	243	1859	1909	2939	2486	2283	7252							
SEN2390	1236	583	572	285	132	153	159							
SEN2391	1653	997	914	349	140	169	279							
SEN2392	999	1268	1143	1111	722	924	1099							
SEN2407	228	160	232	250	407	163	208							
SEN2415	240	21	12	16	32	23	22							
SEN2420	609	1363	1314	1780	1539	1844	2551							
SEN2427	900	3343	2838	3912	7472	6630	2792							
SEN2428	576	391	393	506	3177	1503	324							
SEN2430	426	756	614	817	848	887	482							
SEN2433	330	142	125	167	104	153	145							
SEN2454	231	572	699	964	492	821	857							
SEN2457	1299	773	477	783	207	367	926							
SEN2463	201	2204	1892	885	555	578	958							
SEN2465	864	1623	1984	1060	1432	1076	887							
SEN2471	1140	335	426	266	425	334	295							
SEN2472	1290	42	62	61	48	50	67							
SEN2473	1188	633	873	936	570	592	738							
SEN2475	1464	1078	1022	1119	2421	2341	1230							
SEN2484	2214	1482	1460	2057	1255	1353	990							
SEN2485	261	7517	8615	9352	5505	13463	9033							
SEN2488	330	909	865	762	365	2000	1499							
SEN2489	342	718	589	470	392	796	639							
SEN2507	864	121	168	37	32	50	41							
SEN2508	810	138	198	25	23	12	36							
SEN2509	630	263	347	74	67	35	50							
SEN2510	2406	1486	1708	538	394	916	878							
SEN2512	4935	2812	3040	2929	6290	4832	2787							
SEN2514	669	480	292	300	66	164	298							
SEN2525	732	1959	1919	2686	3763	3233	3211							
SEN2527	879	926	606	900	390	515	1129							
SEN2531	987	151	157	202	195	214	183							
SEN2532	639	224	234	389	384	323	426							
SEN2550	1362	794	603	1329	2169	1296	1168							
SEN2553	867	304	226	281	64	113	184							
SEN2554	1197	141	134	123	101	61	64							
SEN2555	927	684	393	464	387	803	945							
SEN2582	456	1980	943	313	83	174	118							
SEN2589	909	1481	1217	711	562	426	645							
SEN2601	606	1189	974	1231	1950	2325	2099							
SEN2609	11475	2792	4729	1187	556	712	569							
SEN2610	1410	397	447	282	73	140	214							
SEN2611	2181	171	415	125	100	108	103							
SEN2612	1164	509	621	350	246	262	342							
SEN2613	594	1377	955	297	88	114	187							
SEN2614	804	8207	7193	5691	2065	6542	9027							
SEN2616	1112	4	3	9	7	6	0							
SEN2624	1053	7334	5534	3415	3923	851	2301							
SEN2630	978	71	128	85	41	59	56							
SEN2631	435	13	44	31	15	20	11							
SEN2632	1515	578	610	723	374	653	658							
SEN2633	987	419	238	111	41	47	39							
SEN2641	300	83	102	99	168	104	63							
SEN2644	450	17203	11023	13787	15853	33244	20006							
SEN2647	1335	649	664	324	118	136	201							
SEN2648	432	100	99	224	111	224	126							
SEN2649	177	11	6	7	5	10	2							
SEN2657	1185	192	162	140	204	175	179							
SEN2661	1371	388	266	253	103	146	294							
SEN2681	1440	944	593	508	280	441	576							
SEN2685	811	171	239	172	529	265	138							
SEN2710	453	2591	4142	8291	1373	1773	1660							
SEN2712	600	2292	5886	14814	287	521	1592							
SEN2742	193	75	104	121	39	25	53							
SEN2743	291	3661	1382	850	245	685	708							
SEN2744	528	4318	1544	982	319	869	791							
SEN2746	495	122	68	135	39	61	65							
SEN2746A	669	182	157	213	97	185	201							
SEN2747	411	303	299	446	385	636	431							
SEN2749	381	20	11	13	23	21	13							
SEN2750	1209	261	201	133	103	142	158							
SEN2751	933	265	245	118	260	146	272							
SEN2752	1497	388	498	252	1181	353	846							
SEN2753	951	173	214	159	1103	340	502							
SEN2759	405	396	348	477	463	429	703							
SEN2760	594	25	26	8	11	24	20							
SEN2761	1428	116	191	191	258	224	200							
SEN2762	198	148	161	216	118	261	293							
SEN2777	921	409	611	1081	1004	1214	1807							
SEN2779	747	310	365	617	686	778	1026							
SEN2781	555	978	786	1062	1731	2107	2334							
SEN2782	1557	586	492	718	720	871	1351							
SEN2789	798	1758	1742	1837	2395	1781	3199							
SEN2794	588	68	85	58	18	59	95							
SEN2795	2700	246	176	116	115	110	128							
SEN2796	774	32	38	50	31	35	48							
SEN2797	507	24	5	15	5	2	15							
SEN2798	489	41	14	32	10	18	20							
SEN2799	537	17	18	19	10	15	31							
SEN2800	1032	175	109	107	46	184	80							
SEN2804	1143	512	530	506	879	839	1263							
SEN2808	450	741	666	1058	1042	951	1367							
SEN2819A	1317	789	521	793	673	717	1022							
SEN2830	915	2084	1881	2463	2918	4253	2437							
SEN2855	1023	748	911	841	832	631	701							
SEN2863	864	457	395	445	196	214	357							
SEN2864	483	974	4482	1013	1030	1602	1022							
SEN2865	1230	1808	2228	953	488	644	532							
SEN2868	741	329	269	188	139	160	209							
SEN2869	513	71	57	86	3	27	28							
SEN2870	1077	301	186	202	52	229	279							
SEN2874	633	862	570	495	1164	3940	1120							
SEN2875	537	199	192	159	494	1103	100							
SEN2876	366	2199	2050	1518	1055	877	2189							
SEN2877	399	12107	7031	8826	2966	8203	8775							
SEN2878	228	15826	8208	10708	3189	12368	12439							
SEN2879	252	591	400	585	100	101	102							
SEN2880	807	5344	4676	4981	3380	2813	4461							
SEN2881	759	1694	1834	2210	1933	1722	2079							
SEN2895	894	614	375	576	510	2711	1104							
SEN2914	426	119	105	84	700	467	48							
SEN2915	579	217	150	146	675	448	73							
SEN2916	708	209	128	177	437	368	145							
SEN2917	678	269	266	327	785	585	231							
SEN2918	657	115	87	112	298	206	55							
SEN2922	954	330	364	509	217	219	380							
SEN2923	495	229	113	144	24	166	106							
SEN2924	1008	236	133	173	67	249	258							
SEN2925	1017	550	374	317	67	222	277							
SEN2926	1473	359	170	241	146	270	168							
SEN2928	801	4704	3124	3616	3269	3445	5509							
SEN2929	732	121	84	127	120	173	128							
SEN2935	498	78	139	110	223	267	133							
SEN2941	687	111	158	124	203	185	154							
SEN2960	435	310	210	166	184	731	396							
SEN2961	1326	1737	1281	1237	822	1464	2439							
SEN2962	528	665	511	429	367	492	889							
SEN2963	843	814	782	736	746	830	1449							
SEN2964	879	375	321	525	250	313	399							
SEN2965	1740	2624	2295	2336	1665	1579	3902							
SEN2966	1185	558	435	373	142	144	328							
SEN2967	684	241	95	102	51	323	308							
SEN2968	558	292	263	269	39	92	387							
SEN2969	1500	653	566	603	146	141	530							
SEN2970	375	269	258	358	203	243	300							
SEN2971	1302	464	376	539	159	209	474							
SEN2972	1485	1366	1027	1492	1182	1560	2203							
SEN2974	486	592	756	935	67	145	1051							
SEN2975	924	6116	10158	2400	173	280	332							
SEN2976	879	8603	9915	1990	101	345	76							
SEN2977	1305	1248	868	1149	1221	1609	1126							
SEN2978	1185	1173	766	1116	1312	2008	1366							
SEN2979	1473	241	288	402	484	1072	568							
SEN2980	1413	1414	1343	1524	1237	1952	1466							
SEN2981	1056	33391	13705	6831	170	1495	2382							
SEN2984	711	166	176	199	280	238	224							
SEN2985	1053	482	590	814	1165	1489	1345							
SEN2995	1644	1841	1709	2191	337	381	386							
SEN2997	516	3970	3083	3718	128	437	507							
SEN2998	411	1033	759	838	42	116	151							
SEN2999	405	1168	986	1326	54	169	297							
SEN3003	150	573	529	537	975	1894	645							
SEN3009	1302	97	100	72	60	39	38							
SEN3010	456	637	571	822	463	537	825							
SEN3012	984	334	162	188	42	111	165							
SEN3013	483	143	66	71	19	33	41							
SEN3018	867	188	248	404	165	263	179							
SEN3034	1797	675	322	393	134	313	539							
SEN3035	672	445	168	217	86	193	511							
SEN3036	678	418	441	374	228	307	479							
SEN3040	621	142	87	111	81	131	136							
SEN3058	1569	12042	7169	15206	354	208	346							
SEN3092	1272	374	360	309	373	515	521							
SEN3093	465	267	185	195	203	321	346							
SEN3094	285	319	183	267	368	426	447							
SEN3095	1374	509	412	528	719	1137	955							
SEN3096	1044	121	92	110	160	210	140							
SEN3097	774	2043	1337	1636	1902	3072	2912							
SEN3112	720	123	112	104	33	25	36							
SEN3113	531	55	39	31	16	29	35							
SEN3125	960	5131	1809	1557	1815	8289	3818							
SEN3135	1011	1768	2092	1481	4566	2371	1651							
SEN3167	1281	830	804	1029	1717	1283	862							
SEN3176	753	4145	2454	3086	3622	7796	7666							
SEN3183	732	128	88	108	123	116	84							
SEN3184	1302	28	27	11	19	6	16							
SEN3185	1773	23	10	22	17	4	6							
SEN3186	243	3	6	5	2	5	2							
SEN3187	618	62	57	101	106	119	52							
SEN3188	900	61	53	94	111	149	69							
SEN3189	1269	39	45	56	61	125	56							
SEN3190	666	1919	1459	1546	1303	2053	1920							
SEN3191	630	1741	1516	1529	1414	2401	1955							
SEN3195	267	3493	3419	813	375	508	262							
SEN3211	1005	1287	1098	954	2519	1194	729							
SEN3212	600	1698	1504	1839	2406	2077	1539							
SEN3222	2100	745	718	694	1559	812	457							
SEN3239	270	3110	1901	1969	1548	4302	2292							
SEN3273	1185	20622	25235	36656	135427	86973	55634							
SEN3288	312	3714	2727	4375	4179	5090	6641							
SEN3334	927	336	402	392	355	416	359							
SEN3342	276	3462	2545	4472	2182	2771	2913							
SEN3343	261	7266	3938	3179	1293	3078	2022							
SEN3346	1554	61	53	49	272	116	40							
SEN3352	546	347	190	192	668	161	323							
SEN3353	1554	932	775	834	641	856	1134							
SEN3354A	1335	174	190	324	76	186	233							
SEN3355	1716	596	457	707	233	838	806							
SEN3356	906	729	576	808	262	665	800							
SEN3357	756	3269	2055	2195	3086	4257	2678							
SEN3370	1215	1455	539	185	199	1907	860							
SEN3371	762	1043	580	273	211	1631	1243							
SEN3372	972	443	311	214	95	466	505							
SEN3373	1035	832	742	483	348	620	665							
SEN3381	369	271	225	219	78	68	106							
SEN3389	135	58	55	58	85	68	74							
SEN3403	558	1204	1493	2458	3164	3939	3085							
SEN3418	1272	750	852	1040	1699	2140	499							
SEN3421	1044	2329	1101	2442	150	109	654							
SEN3422	1320	3128	1603	2626	50	84	1724							
SEN3423	846	6849	2199	3270	49	114	4275							
SEN3424	978	18916	8670	13773	424	757	11099							
SEN3425	720	1312	872	1031	673	996	1168							
SEN3427	1590	2500	3053	3239	1353	1552	963							
SEN3428	357	66	35	41	22	4	4							
SEN3447A	138	76	78	75	61	51	52							
SEN3448	233	202	220	217	135	139	99							
SEN3455	1326	333	286	321	401	448	393							
SEN3456	1125	111	48	106	96	86	74							
SEN3457	1008	28	45	69	110	85	32							
SEN3473	540	812	904	1526	4165	3735	2259							
SEN3474	486	2253	1074	928	564	1009	1179							
SEN3475	288	1543	846	780	421	684	713							
SEN3476	468	225	112	134	24	74	210							
SEN3476A	192	40	26	60	8	31	42							
SEN3476B	156	31	15	30	6	5	18							
SEN3479	303	1647	678	568	308	1034	662							
SEN3492	933	56	64	50	10	41	46							
SEN3500	816	328	239	266	202	216	405							
SEN3501	1956	333	451	257	106	167	198							
SEN3503	882	995	728	286	231	138	141							
SEN3510	210	1230	966	193	94	87	148							
SEN3512	684	68	24	14	5	31	15							
SEN3513	4386	4354	3724	2232	1513	1721	1413							
SEN3518	1005	254	263	275	409	384	330							
SEN3519	1197	179	138	177	137	197	135							
SEN3520	1311	1028	1167	1114	855	836	1092							
SEN3558	858	298	301	288	674	357	357							
SEN3559	882	382	461	300	378	314	303							
SEN3572	345	416	276	170	100	214	181							
SEN3573	1533	2148	1530	1526	1182	1518	1757							
SEN3577A	132	45	35	37	15	30	48							
SEN3578	117	19	27	19	2	7	10							
SEN3588	942	1122	904	846	466	884	819							
SEN3589	744	124	121	184	127	112	203							
SEN3590	1110	203	299	301	277	337	394							
SEN3591	858	443	546	625	672	743	889							
SEN3592	750	208	283	338	414	325	558							
SEN3593	486	282	359	424	374	402	514							
SEN3594	426	85	142	114	121	124	129							
SEN3595	2799	1792	1754	2436	4106	3588	2895							
SEN3596	294	3391	2754	724	137	196	146							
SEN3597	1383	2586	2581	1405	4276	1579	892							
SEN3599	360	2299	962	506	516	1298	748							
SEN3600	324	2557	1319	936	1076	1924	1354							
SEN3607	1014	299	260	453	260	478	395							
SEN3608	1317	610	458	819	311	779	741							
SEN3609	921	1950	1009	1278	937	2350	1560							
SEN3610	786	640	542	605	746	997	765							
SEN3614	834	136	220	161	90	64	177							
SEN3616	1086	300	260	212	246	287	183							
SEN3628	1044	37	21	58	8	7	62							
SEN3629	558	23	45	38	457	39	56							
SEN3631	480	23	31	25	337	17	38							
SEN3633	738	35	36	52	589	33	58							
SEN3636	1401	1855	1135	1628	1362	4304	1702							
SEN3645	618	76	97	135	91	39	133							
SEN3649	1263	229	190	156	17	45	241							
SEN3650	1194	338	330	304	148	184	475							
SEN3651	897	2594	2080	2485	3317	3949	3752							
SEN3658	258	464	753	914	1296	1006	815							
SEN3672	1374	550	454	540	384	435	619							
SEN3673	819	39	35	31	60	49	37							
SEN3674	1758	313	318	264	253	287	227							
